price,bedrooms,sqfts,longitude,name,latitude,bathrooms_level_two,streetAddress,country,locality,postal,region,housing_type,links,sauna,pool,steam
"$3,000",1,784ft2,-122.812341,White Rock Condo across from ocean,49.023295,1.0,1160 Oxford St,CA,White Rock,V4B3P5,BC,Apartment,https://vancouver.craigslist.org/rds/apa/d/white-rock-white-rock-condo-across-from/7581092960.html,False,,
"$3,495",2,1000ft2,-123.032026,NORTH SHORE LIVING - Best Floor Plan - 2bd/2bth @ Compass- UNFURNISHED,49.312385,2.0,,CA,North Vancouver,V7J2L5,BC,Apartment,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-north-shore-living-best/7585253457.html,True,,True
"$5,300",1,733ft2,-123.078688,"- --(OBsold.com)-- Stunning Furnished 1bd+den, monthly rental",49.310206,1.0,,CA,North Vancouver,V7L0E3,BC,Apartment,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-obsoldcom-stunning/7582125288.html,True,,True
"$4,500",3,1550ft2,-123.097900,Vancouver West Townhouse three (3) Bedroom,49.215600,4.0,,CA,Vancouver,V5X,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-vancouver-west-townhouse/7579735887.html,False,,
"$1,900",1,,-123.055115,Apartment for rent,49.074691,1.0,Scott Road,CA,Delta,V4K3X7,BC,Apartment,https://vancouver.craigslist.org/rds/apa/d/delta-apartment-for-rent/7584251089.html,False,,
"$4,295",2,1225ft2,-123.129800,"Underground parking, Quartz countertops, 2 elevators",49.283300,2.0,1022 Nelson Street,CA,Vancouver,V6E,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-underground-parking-quartz/7572673342.html,False,,
"$2,300",2,,-123.047424,Furnished 2 bedroom 1 bath suite near skytrain,49.249708,1.0,,CA,Vancouver,V5R1A7,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-bedroom-bath-suite/7581904936.html,False,,
"$3,800",2,820ft2,-123.116930,Brand new 2 Bed 2 Bath with Air Conditioner at The Pacific in Downtown,49.274169,2.0,889 Pacific Blvd,CA,Vancouver,V6Z3A3,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-brand-new-bed-bath-with-air/7585307570.html,False,,
"$3,950",2,800ft2,-123.113900,2 bedroom + 1 den furnished codo in Yaletown,49.278800,1.0,Smithe,CA,Vancouver,V6B2P2,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-den-furnished-codo-in/7577594537.html,True,True,
"$2,850",1,509ft2,-123.113900,Pet Welcome Furnished 1 Bedroom@ 1325 Rolston -Available March 1st,49.278800,1.0,1325 Rolston Street,CA,Vancouver,V6B0A2,BC,Apartment,https://vancouver.craigslist.org/van/apa/d/vancouver-pet-welcome-furnished-bedroom/7569845557.html,False,,
"$4,995",2,1600ft2,-123.275056,(MANDERGROUP.COM) Sea Breeze....,49.376276,2.0,,CA,West Vancouver,V7W2B2,BC,Apartment,https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-mandergroupcom-sea-breeze/7580761925.html,False,,
"$2,800",2,794ft2,-123.116800,"Richmond ""TEMPO"" Rooftop 2Br+1bath unit for Rent!",49.183600,1.0,,CA,Richmond,V6X1K3,BC,Apartment,https://vancouver.craigslist.org/rch/apa/d/richmond-richmond-tempo-rooftop/7580747962.html,False,True,
